Arguments_LongestWordLength,argDomanRatio,ArgUrlRatio,argPathRatio,ArgLen,avgdomaintokenlen,longdomaintokenlen,tld,delimeter_Domain,domainlength,domain_token_count,domain_digit_count,domain_letter_count,domainUrlRatio,Domain_LongestWordLength,Directory_DigitCount,Directory_LongestWordLength,Directory_LetterCount,Entropy_Afterpath,Entropy_Domain,Entropy_DirectoryName,Entropy_URL,Entropy_Filename,File_name_DigitCount,Filename_LetterCount,NumberofDotsinURL,NumberRate_Domain,NumberRate_FileName,NumberRate_URL,NumberRate_DirectoryName,avgpathtokenlen,pathLength,path_token_count,pathDomainRatio,pathurlRatio,Path_LongestWordLength,LongestPathTokenLength,delimeter_path,Query_LetterCount,Querylength,Query_DigitCount,SymbolCount_URL,SymbolCount_Domain,SymbolCount_FileName,SymbolCount_Afterpath,SymbolCount_Directoryname,urlLen,URL_Letter_Count,URL_DigitCount,delimeter_url,vowel_ratio_url,label
0.0,0.0,0.0,0.0,0.0,5.0,7.0,3.0,1.0,11.0,2.0,0.0,10.0,0.55,7.0,0.0,0.0,0.0,0.0,3.0957952550009344,-0.0,3.7841837197791883,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,,1.0,0.0,0.09090909090909091,0.05,0.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,20.0,15.0,0.0,3.0,0.2,0.0
0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,7.0,2.0,1.0,5.0,0.4666666666666667,3.0,0.0,0.0,0.0,0.0,2.5216406363433186,-0.0,3.323231428797621,0.0,0.0,0.0,1.0,0.14285714285714285,,0.06666666666666667,0.0,,1.0,0.0,0.14285714285714285,0.06666666666666667,0.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,15.0,9.0,1.0,3.0,0.06666666666666667,0.0
2.0,5.545454545454546,0.7093023255813954,10.166666666666666,61.0,5.0,7.0,3.0,1.0,11.0,2.0,0.0,10.0,0.12790697674418605,7.0,0.0,0.0,0.0,4.062997019662935,2.845350936622437,-0.0,4.540069006685923,2.3219280948873626,0.0,5.0,1.0,0.0,0.0,0.19767441860465115,0.0,5.0,6.0,1.0,0.5454545454545454,0.06976744186046512,5.0,5.0,1.0,36.0,61.0,17.0,14.0,1.0,0.0,8.0,1.0,86.0,55.0,17.0,11.0,0.1744186046511628,0.0
0.0,0.0,0.0,0.0,0.0,5.5,8.0,3.0,1.0,12.0,2.0,0.0,11.0,0.13043478260869565,8.0,10.0,9.0,52.0,0.0,3.418295834054489,4.485199654968038,4.652592973780295,0.0,0.0,0.0,1.0,0.0,,0.10869565217391304,0.1388888888888889,6.2,73.0,10.0,6.083333333333333,0.7934782608695652,9.0,10.0,11.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,10.0,92.0,67.0,10.0,13.0,0.2391304347826087,0.0
0.0,0.0,0.0,0.0,0.0,5.5,9.0,2.0,1.0,12.0,2.0,0.0,11.0,0.5714285714285714,9.0,0.0,0.0,0.0,0.0,2.8553885422075336,-0.0,3.5585186130489057,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,,1.0,0.0,0.08333333333333333,0.047619047619047616,0.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,21.0,16.0,0.0,3.0,0.19047619047619047,0.0
0.0,0.0,0.0,0.0,0.0,6.333333333333333,8.0,8.0,2.0,21.0,3.0,0.0,19.0,0.5384615384615384,8.0,0.0,0.0,0.0,0.0,3.689703732199547,-0.0,4.141064001347103,2.9477027792200903,0.0,9.0,2.0,0.0,0.0,0.0,0.0,9.0,10.0,1.0,0.47619047619047616,0.2564102564102564,9.0,9.0,1.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,1.0,39.0,33.0,0.0,4.0,0.23076923076923078,0.0
0.0,0.0,0.0,0.0,0.0,2.5,3.0,2.0,1.0,6.0,2.0,0.0,5.0,0.058823529411764705,3.0,4.0,11.0,45.0,0.0,2.2516291673878226,4.4665604218765065,4.579911160884175,4.181786496009061,3.0,20.0,9.0,0.0,0.10344827586206896,0.06862745098039216,0.06779661016949153,4.235294117647059,89.0,17.0,14.833333333333334,0.8725490196078431,11.0,11.0,17.0,0.0,0.0,0.0,21.0,1.0,6.0,0.0,10.0,102.0,74.0,7.0,19.0,0.16666666666666666,0.0
0.0,0.0,0.0,0.0,0.0,4.666666666666667,8.0,3.0,2.0,16.0,3.0,0.0,14.0,0.64,8.0,0.0,0.0,0.0,0.0,3.327819531114783,-0.0,3.863465189601646,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,,1.0,0.0,0.0625,0.04,0.0,0.0,1.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,1.0,25.0,19.0,0.0,4.0,0.12,0.0
0.0,0.0,0.0,0.0,0.0,8.0,13.0,3.0,1.0,17.0,2.0,0.0,16.0,0.6538461538461539,13.0,0.0,0.0,0.0,0.0,3.454822399946607,-0.0,3.8150724101159423,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,,1.0,0.0,0.058823529411764705,0.038461538461538464,0.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,26.0,21.0,0.0,3.0,0.2692307692307692,0.0
0.0,0.0,0.0,0.0,0.0,5.5,8.0,3.0,1.0,12.0,2.0,0.0,11.0,0.5714285714285714,8.0,0.0,0.0,0.0,0.0,3.584962500721156,-0.0,3.975418017913832,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,,1.0,0.0,0.08333333333333333,0.047619047619047616,0.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,21.0,16.0,0.0,3.0,0.19047619047619047,0.0
0.0,0.0,0.0,0.0,0.0,6.333333333333333,13.0,3.0,2.0,21.0,3.0,0.0,19.0,0.7,13.0,0.0,0.0,0.0,0.0,3.5944656369614516,-0.0,3.8729055953200557,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,,1.0,0.0,0.047619047619047616,0.03333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,1.0,30.0,24.0,0.0,4.0,0.16666666666666666,0.0
0.0,0.0,0.0,0.0,0.0,5.666666666666667,11.0,3.0,2.0,19.0,3.0,0.0,17.0,0.6785714285714286,11.0,0.0,0.0,0.0,0.0,3.6818808028034042,-0.0,4.012188403968661,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,,1.0,0.0,0.05263157894736842,0.03571428571428571,0.0,0.0,1.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,1.0,28.0,22.0,0.0,4.0,0.21428571428571427,0.0
0.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,2.0,11.0,3.0,0.0,9.0,0.5789473684210527,4.0,0.0,0.0,0.0,0.0,2.845350936622437,-0.0,3.5368867237421693,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,,1.0,0.0,0.09090909090909091,0.05263157894736842,0.0,0.0,1.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,1.0,19.0,13.0,0.0,4.0,0.10526315789473684,0.0
